date,code,open,high,low,close,volume,amount,MA5,MA10,MA20,MA60
2024-12-19,sh.601127,128.0,131.5,127.51,130.8,21653163,2823510215.38,130.326,133.99,130.83849999999998,
2024-12-20,sh.601127,129.7,131.8,128.68,131.1,23547122,3072337436.23,130.514,133.26100000000002,131.19400000000002,
2024-12-23,sh.601127,131.23,134.8,130.0,130.68,23742326,3134151342.72,130.51,131.854,131.6605,
2024-12-24,sh.601127,130.9,131.52,128.1,131.34,22467418,2924366414.0,130.736,131.53799999999998,132.197,
2024-12-25,sh.601127,131.34,131.93,129.0,129.28,18191452,2367993825.15,130.64000000000001,131.094,132.4665,
2024-12-26,sh.601127,130.0,136.4,129.36,136.0,47757458,6413181621.28,131.68,131.003,133.30599999999998,
2024-12-27,sh.601127,134.88,136.0,133.4,135.08,28771020,3873235834.61,132.476,131.49499999999998,133.98049999999998,
2024-12-30,sh.601127,136.6,137.78,134.33,134.8,20005890,2709847078.52,133.3,131.90500000000003,134.033,121.13083333333334
2024-12-31,sh.601127,135.32,136.39,131.4,133.39,26468600,3544296643.0,133.70999999999998,132.223,133.9175,121.719
2025-01-02,sh.601127,131.66,131.95,127.77,128.54,31193907,4042933702.82,133.562,132.101,133.50449999999998,122.37766666666667
2025-01-03,sh.601127,128.88,129.16,124.85,124.98,27243214,3448949907.45,131.358,131.519,132.75449999999998,122.98066666666666
2025-01-06,sh.601127,125.13,126.95,121.26,124.0,25916247,3222245715.36,129.142,130.809,132.035,123.51066666666667
2025-01-07,sh.601127,124.28,129.48,123.21,129.26,30187287,3821949644.46,128.034,130.66699999999997,131.2605,124.115
2025-01-08,sh.601127,128.44,128.8,124.28,127.78,25442744,3224048216.82,126.91199999999999,130.31099999999998,130.9245,124.7465
2025-01-09,sh.601127,126.57,129.87,126.55,128.96,21061786,2708094573.22,126.99600000000001,130.279,130.6865,125.3725
2025-01-10,sh.601127,128.14,132.32,127.83,128.17,28384784,3686239755.48,127.63399999999999,129.496,130.24949999999998,126.00866666666667
2025-01-13,sh.601127,130.74,135.0,130.01,132.0,34240179,4536420714.21,129.23399999999998,129.18800000000002,130.3415,126.69500000000001
2025-01-14,sh.601127,131.21,139.0,130.7,138.71,49144300,6701713041.55,131.124,129.579,130.74200000000002,127.50050000000002
2025-01-15,sh.601127,138.0,139.82,136.16,137.8,31098144,4274380582.63,133.12800000000001,130.02,131.12150000000003,128.27349999999998
2025-01-16,sh.601127,137.89,139.68,134.67,135.39,29846718,4088001740.95,134.414,130.705,131.403,128.85399999999998
2025-01-17,sh.601127,134.52,136.13,133.31,135.07,20316539,2737173130.86,135.794,131.714,131.61650000000003,129.48033333333333
2025-01-20,sh.601127,137.0,138.52,136.0,136.66,23705058,3251529539.63,136.726,132.98,131.8945,130.15166666666667
2025-01-21,sh.601127,137.01,139.49,135.42,138.91,29266947,4028316167.3,136.766,133.945,132.30599999999998,130.759
2025-01-22,sh.601127,135.0,135.88,131.01,131.9,48567851,6459729801.23,135.586,134.35700000000003,132.334,131.13733333333332
2025-01-23,sh.601127,133.05,134.98,131.47,131.7,24424011,3251102025.75,134.84799999999998,134.631,132.45499999999998,131.50799999999998
2025-01-24,sh.601127,130.2,132.98,130.11,132.8,21168822,2786763219.45,134.394,135.094,132.29500000000002,131.77633333333333
2025-01-27,sh.601127,133.0,135.44,131.01,132.79,22615984,3006594293.12,133.62,135.173,132.1805,132.09066666666666
2025-02-05,sh.601127,128.4,128.49,126.0,127.5,29267036,3726418963.69,131.33800000000002,134.052,131.8155,132.127
2025-02-06,sh.601127,126.65,131.29,125.09,130.99,34933101,4483384114.05,131.156,133.371,131.6955,132.01266666666666
2025-02-07,sh.601127,130.7,134.0,129.82,132.64,36731016,4848545001.97,131.344,133.096,131.90050000000002,131.98666666666665
2025-02-10,sh.601127,132.05,134.59,131.25,132.77,29002634,3842317199.57,131.338,132.86599999999999,132.29000000000002,131.935
2025-02-11,sh.601127,130.89,132.5,125.0,125.2,53430034,6790497295.9,129.82,131.72,132.35,131.78466666666665
2025-02-12,sh.601127,121.0,124.56,120.1,123.66,39830714,4871372964.96,129.052,130.195,132.07,131.50733333333335
2025-02-13,sh.601127,123.6,124.23,120.0,120.03,39127385,4758022642.6,126.85999999999999,129.00799999999998,131.6825,131.265
2025-02-14,sh.601127,119.9,123.5,119.23,122.17,30880696,3770657185.73,124.766,128.055,131.34300000000002,130.894
2025-02-17,sh.601127,120.86,122.3,119.42,121.08,29635318,3573377558.0,122.428,126.883,130.9885,130.5735
2025-02-18,sh.601127,121.09,121.24,118.11,119.02,32094626,3834352048.77,121.19200000000001,125.506,130.3395,130.3655
2025-02-19,sh.601127,118.39,120.68,117.01,119.49,30683633,3643011928.3,120.35799999999999,124.705,129.3785,130.27783333333335
2025-02-20,sh.601127,121.5,123.9,120.85,122.96,38317895,4696931141.34,120.944,123.902,128.6365,130.17066666666668
2025-02-21,sh.601127,122.43,123.47,120.5,122.62,31063513,3792217954.06,121.03400000000002,122.9,127.998,130.05233333333334
2025-02-24,sh.601127,121.61,126.2,121.21,123.71,28289356,3503386694.45,121.55999999999999,121.994,127.42999999999999,129.96166666666667
2025-02-25,sh.601127,122.6,129.0,121.8,127.98,49635639,6261882921.02,123.352,122.272,126.99600000000001,130.02816666666666
2025-02-26,sh.601127,127.0,127.97,125.42,126.06,31436429,3982452809.62,124.66599999999998,122.51199999999999,126.35350000000001,130.10666666666665
2025-02-27,sh.601127,126.06,130.3,125.73,126.88,30634608,3922540752.28,125.45,123.197,126.1025,130.21116666666666
2025-02-28,sh.601127,125.6,125.67,121.5,121.51,28811253,3545654756.51,125.228,123.131,125.593,130.1715
2025-03-03,sh.601127,122.72,124.46,121.52,122.5,18953191,2332610287.67,124.98600000000002,123.273,125.078,130.22633333333334
2025-03-04,sh.601127,122.51,123.5,120.66,122.9,14804362,1808602621.39,123.97,123.66099999999999,124.5835,130.24816666666666
2025-03-05,sh.601127,123.88,127.99,123.5,126.6,31690208,3982678764.33,124.078,124.372,124.5385,130.12900000000002
2025-03-06,sh.601127,127.7,136.0,127.7,134.87,65101061,8718570839.7,125.676,125.56299999999999,124.73249999999999,130.11516666666665
2025-03-07,sh.601127,136.21,137.98,133.2,134.54,41363236,5607384706.66,128.28199999999998,126.755,124.82749999999999,130.07750000000001
2025-03-10,sh.601127,137.72,137.75,131.28,132.85,31478362,4183075543.96,130.352,127.66900000000001,124.8315,129.95866666666666
2025-03-11,sh.601127,130.48,131.74,128.86,130.86,22380869,2909818516.93,131.94400000000002,127.957,125.11449999999999,129.83316666666667
2025-03-12,sh.601127,132.1,132.77,128.6,128.8,20943617,2729556425.37,132.38400000000001,128.231,125.3715,129.56733333333332
2025-03-13,sh.601127,128.67,128.67,125.01,126.34,23637092,2983990195.69,130.678,128.177,125.68700000000001,129.43133333333333
2025-03-14,sh.601127,126.34,130.35,126.34,129.42,28118688,3609264011.4,129.654,128.968,126.0495,129.35966666666667
2025-03-17,sh.601127,130.56,130.9,127.6,127.87,16414146,2106622352.89,128.658,129.505,126.38900000000001,129.209
2025-03-18,sh.601127,128.0,128.86,126.84,128.16,14676041,1876814074.19,128.118,130.031,126.846,129.17566666666667
2025-03-19,sh.601127,127.8,128.73,126.02,127.32,14555123,1851400334.61,127.822,130.103,127.2375,129.11933333333334
2025-03-20,sh.601127,127.32,130.0,126.48,127.93,18113106,2322741808.69,128.14,129.40900000000002,127.48599999999999,129.08133333333333
2025-03-21,sh.601127,128.4,130.25,124.0,124.38,28345802,3559652924.43,127.13199999999999,128.393,127.574,128.99166666666667
2025-03-24,sh.601127,123.83,125.21,122.67,124.46,15057083,1867158039.81,126.45,127.554,127.6115,128.886
2025-03-25,sh.601127,124.47,124.66,122.25,122.4,13859427,1704262606.0,125.298,126.70800000000001,127.33250000000001,128.741
2025-03-26,sh.601127,121.62,124.2,121.61,123.7,13253203,1628778784.03,124.574,126.19800000000001,127.2145,128.62466666666666
