文物名称,展厅,时期,参观顺序,是否镇馆之宝,文物种类,所属领域,人员类别,,,,,,,,,
北宋苏轼真书祭黄几道文卷,中国历代书法馆,辽宋夏金元,74,f,书画古籍,['书法'],0,,,,,,,,,
禾牛骨刻辞,中国历代书法馆,夏商西周,75,f,石器石刻,['礼制'],0,,,,,,,,,
清蒋廷锡芍药图轴,中国历代绘画馆,明清,76,f,书画古籍,['绘画'],0,,,,,,,,,
明徐渭竹石牡丹图轴,中国历代绘画馆,明清,77,f,书画古籍,['绘画'],0,,,,,,,,,
明唐寅秋风纨扇图轴,中国历代绘画馆,明清,78,f,书画古籍,['绘画'],0,,,,,,,,,
元王冕墨梅图轴,中国历代绘画馆,辽宋夏金元,79,f,书画古籍,['绘画'],0,,,,,,,,,
宋艳艳女史草虫花蝶图卷,中国历代绘画馆,辽宋夏金元,80,f,书画古籍,['绘画'],0,,,,,,,,,
戴进青山积翠图轴,中国历代绘画馆,明清,81,f,书画古籍,['绘画'],0,,,,,,,,,
文徽明石湖清胜图卷,中国历代绘画馆,明清,82,f,书画古籍,['绘画'],0,,,,,,,,,
倪瓒渔庄秋霁图轴,中国历代绘画馆,辽宋夏金元,83,f,书画古籍,['绘画'],0,,,,,,,,,
任仁发秋水凫鹥图轴,中国历代绘画馆,辽宋夏金元,84,f,书画古籍,['绘画'],0,,,,,,,,,
清雍正景德镇窑粉彩蝠桃纹瓶,中国古代陶瓷馆,明清,85,f,瓷器,"['花瓶', '绘画']",0,,,,,,,,,
明嘉靖景德镇窑五彩鱼藻纹罐,中国古代陶瓷馆,明清,86,f,瓷器,"['花瓶', '纹饰']",0,,,,,,,,,
唐彩绘彩色釉陶骑马女俑,中国古代陶瓷馆,隋唐五代,87,f,陶器,"['雕像', '人物', '陈设品']",0,,,,,,,,,
马家窑文化彩陶涡纹壶,中国古代陶瓷馆,远古时期,88,f,陶器,"['新石器', '饮食', '纹饰']",0,,,,,,,,,
宋哥窑五足洗,中国古代陶瓷馆,辽宋夏金元,89,f,瓷器,"['饮食', '陈设品']",0,,,,,,,,,
青釉弦纹尊,中国古代陶瓷馆,夏商西周,90,f,瓷器,"['礼制', '饮食']",0,,,,,,,,,
越窑青釉海棠式碗,中国古代陶瓷馆,隋唐五代,91,f,瓷器,"['饮食', '陈设品']",0,,,,,,,,,
长沙窑青釉褐绿彩花卉纹枕,中国古代陶瓷馆,隋唐五代,92,f,瓷器,"['陈设品', '纹饰']",0,,,,,,,,,
龙泉窑青釉鬲式炉,中国古代陶瓷馆,辽宋夏金元,93,f,瓷器,"['礼制', '陈设品']",0,,,,,,,,,
景德镇青花缠枝花卉纹执壶,中国古代陶瓷馆,明清,94,f,瓷器,"['花瓶', '纹饰']",0,,,,,,,,,
孔雀绿釉青花莲鱼纹盘,中国古代陶瓷馆,明清,95,f,瓷器,"['饮食', '纹饰']",0,,,,,,,,,
景德镇窑青釉云龙纹缸,中国古代陶瓷馆,明清,96,t,瓷器,"['花瓶', '纹饰']",0,,,,,,,,,
冬青釉暗花茶叶末座描金盖碗,中国古代陶瓷馆,明清,97,f,瓷器,"['饮食', '陈设品']",0,,,,,,,,,
黄釉绞胎陶三足盘,中国古代陶瓷馆,隋唐五代,98,f,陶器,"['饮食', '陈设品']",0,,,,,,,,,
高丽青釉划花花卉纹杯托,中国古代陶瓷馆,辽宋夏金元,99,f,瓷器,"['饮食', '纹饰']",0,,,,,,,,,
白釉镂雕宫殿人物枕,中国古代陶瓷馆,辽宋夏金元,100,t,瓷器,"['陈设品', '人物', '建筑']",0,,,,,,,,,
汝窑盘,中国古代陶瓷馆,辽宋夏金元,101,f,瓷器,"['饮食', '陈设品']",0,,,,,,,,,
耀州窑青釉刻花牡丹纹瓶,中国古代陶瓷馆,辽宋夏金元,102,f,瓷器,"['花瓶', '纹饰']",0,,,,,,,,,
彩色釉陶凤首壶,中国古代陶瓷馆,隋唐五代,103,f,陶器,"['花瓶', '纹饰']",0,,,,,,,,,
粉彩八仙人物图瓶,中国古代陶瓷馆,明清,104,f,瓷器,"['花瓶', '人物', '绘画']",0,,,,,,,,,
良渚文化黑陶高柄盖罐,中国古代陶瓷馆,远古时期,105,f,陶器,"['新石器', '饮食']",0,,,,,,,,,
崧泽文化黑陶刻纹盖罐,中国古代陶瓷馆,远古时期,106,f,陶器,"['新石器', '饮食', '纹饰']",0,,,,,,,,,
红陶听琴女俑,中国古代陶瓷馆,三国两晋南北朝,107,f,陶器,"['雕像', '人物', '乐器']",0,,,,,,,,,
彩色釉陶骆驼,中国古代陶瓷馆,隋唐五代,108,f,陶器,"['雕像', '陈设品', '古生物']",0,,,,,,,,,
白釉莲花口弦纹六管瓶,中国古代陶瓷馆,辽宋夏金元,109,f,瓷器,"['花瓶', '纹饰', '陈设品']",0,,,,,,,,,
宋建窑進琖款茶盏,中国古代陶瓷馆,辽宋夏金元,110,f,瓷器,"['饮食', '礼制']",0,,,,,,,,,
景德镇窑青花云龙纹春寿瓶,中国古代陶瓷馆,明清,111,f,瓷器,"['花瓶', '纹饰', '陈设品']",0,,,,,,,,,
景德镇窑青花釉里红三果纹高足碗,中国古代陶瓷馆,明清,112,f,瓷器,"['饮食', '纹饰']",0,,,,,,,,,
景德镇窑仿法华釉花鸟纹罐,中国古代陶瓷馆,明清,113,f,瓷器,"['花瓶', '纹饰', '陈设品']",0,,,,,,,,,
景德镇窑粉彩镂空旋转瓶,中国古代陶瓷馆,明清,114,f,瓷器,"['花瓶', '陈设品', '科技']",0,,,,,,,,,
龙窑,中国古代陶瓷馆,辽宋夏金元,115,f,其他,"['建筑', '科技']",0,,,,,,,,,
彩色釉陶镇墓兽,中国古代陶瓷馆,三国两晋南北朝,116,f,陶器,"['雕像', '佛教', '陈设品']",1,,,,,,,,,
景德镇窑唐英款粉彩人物图笔筒,中国古代陶瓷馆,明清,117,f,瓷器,"['文房四宝', '人物', '绘画']",0,,,,,,,,,
清康熙景德镇窑苹果绿釉印盒,中国古代陶瓷馆,明清,118,f,瓷器,"['文房四宝', '陈设品']",0,,,,,,,,,
年广东沙面万国宝通银行一元,中国历代货币馆,明清,119,f,钱币,['货币'],0,,,,,,,,,
广东寿字一两银币,中国历代货币馆,明清,120,f,钱币,['货币'],0,,,,,,,,,
建武十七年五铢叠铸铜制范盒,中国历代货币馆,秦汉,121,f,铜器,['货币'],0,,,,,,,,,
贞祐宝券伍贯钞版,中国历代货币馆,辽宋夏金元,122,f,钱币,['货币'],0,,,,,,,,,
天策府宝,中国历代货币馆,隋唐五代,123,f,钱币,['货币'],0,,,,,,,,,
口口小化口平肩弧足空首布五字铭文平肩弧足空首布,中国历代货币馆,春秋战国,124,f,钱币,['货币'],0,,,,,,,,,
安邑半釿圆肩方足布,中国历代货币馆,春秋战国,125,f,钱币,['货币'],0,,,,,,,,,
马蹄金,中国历代货币馆,秦汉,126,f,金银器,['货币'],0,,,,,,,,,
一刀平五千,中国历代货币馆,秦汉,127,f,钱币,['货币'],0,,,,,,,,,
开元通宝_2,中国历代货币馆,隋唐五代,128,f,钱币,['货币'],0,,,,,,,,,
永乐通宝三钱,中国历代货币馆,明清,129,f,钱币,['货币'],0,,,,,,,,,
咸丰七年大清宝钞百千文,中国历代货币馆,明清,130,f,钱币,['货币'],0,,,,,,,,,
年德华银行二十两年英商香港汇丰银行五元,中国历代货币馆,明清,131,f,钱币,['货币'],0,,,,,,,,,
马其顿国王亚历山大三世德拉克马银币,中国历代货币馆,春秋战国,132,f,钱币,['货币'],0,,,,,,,,,
成吉思汗金币,中国历代货币馆,辽宋夏金元,133,f,钱币,['货币'],0,,,,,,,,,
