文物名称,展厅,时期,参观顺序,是否镇馆之宝,文物种类,所属领域,人员类别,,,,,,,,,
玛瑙雕梅竹松桩式花插,球琳集萃,明清,72,f,玉器宝石,"['陈设品', '饰品']",0,,,,,,,,,
芙蓉石炉,球琳集萃,明清,73,f,玉器宝石,"['陈设品', '饰品']",0,,,,,,,,,
寿山石雕伏虎罗汉,球琳集萃,明清,74,f,玉器宝石,"['雕像', '佛教', '人物']",0,,,,,,,,,
田黄三连印,球琳集萃,明清,75,t,玉器宝石,"['牌章证件', '饰品']",0,,,,,,,,,
孔雀石雕山水人物图插屏,球琳集萃,明清,76,f,玉器宝石,"['雕像', '绘画', '人物']",0,,,,,,,,,
孔雀石盘,球琳集萃,明清,77,f,玉器宝石,"['陈设品', '饰品']",0,,,,,,,,,
玛瑙巧雕三足蟾纹鼻烟壶,球琳集萃,明清,78,f,玉器宝石,"['饰品', '陈设品']",0,,,,,,,,,
青金石雕瓜式鼻烟壶,球琳集萃,明清,79,f,玉器宝石,"['饰品', '陈设品']",0,,,,,,,,,
发晶鼻烟壶,球琳集萃,明清,80,f,玉器宝石,"['饰品', '陈设品']",0,,,,,,,,,
琥珀刻乾隆御题诗鼻烟壶,球琳集萃,明清,81,f,玉器宝石,"['饰品', '陈设品', '书法']",0,,,,,,,,,
水晶雕天鸡尊,球琳集萃,明清,82,f,玉器宝石,"['陈设品', '饰品']",0,,,,,,,,,
水晶雕兕觥,球琳集萃,明清,83,f,玉器宝石,"['陈设品', '饰品']",0,,,,,,,,,
翠雕太平有象式磬,球琳集萃,明清,84,f,玉器宝石,"['乐器', '陈设品']",0,,,,,,,,,
翠雕卧牛,球琳集萃,明清,85,f,玉器宝石,"['雕像', '陈设品']",0,,,,,,,,,
珊瑚狮子,球琳集萃,明清,86,f,玉器宝石,"['雕像', '陈设品']",0,,,,,,,,,
填漆八仙图筒式盆碧玉万年青盆景,球琳集萃,明清,87,f,漆器,"['陈设品', '绘画', '人物']",0,,,,,,,,,
翠雕鹤鹿人物图山子,球琳集萃,明清,88,f,玉器宝石,"['雕像', '绘画', '人物']",0,,,,,,,,,
青金石雕山水图山子,球琳集萃,明清,89,f,玉器宝石,"['雕像', '绘画']",0,,,,,,,,,
青金石雕松泉人物图山子,球琳集萃,明清,90,f,玉器宝石,"['雕像', '绘画', '人物']",0,,,,,,,,,
玛瑙雕瓜叶式水盛,球琳集萃,明清,91,f,玉器宝石,"['文房四宝', '陈设品']",0,,,,,,,,,
铜镀金錾寿字盆红宝石梅花盆景,金枝玉叶,明清,92,f,金银器,"['陈设品', '饰品']",0,,,,,,,,,
画珐琅长方盆玉兰盆景,金枝玉叶,明清,93,f,瓷器,"['陈设品', '饰品']",0,,,,,,,,,
木胎海棠式盆翠竹盆景,金枝玉叶,明清,94,f,漆器,"['陈设品', '饰品']",0,,,,,,,,,
银六方盆金桃树盆景,金枝玉叶,明清,95,f,金银器,"['陈设品', '饰品']",0,,,,,,,,,
银六方盆金铁树盆景,金枝玉叶,明清,96,f,金银器,"['陈设品', '饰品']",0,,,,,,,,,
碧玉雕采玉图山子,金枝玉叶,明清,97,f,玉器宝石,"['雕像', '绘画', '人物']",0,,,,,,,,,
金嵌松石方瓶玉石花卉景,金枝玉叶,明清,98,f,金银器,"['陈设品', '饰品']",0,,,,,,,,,
铜镀金嵌珐琅海棠式盆红珊瑚盆景,金枝玉叶,明清,99,f,金银器,"['陈设品', '饰品']",0,,,,,,,,,
