ts_code,symbol,name,trade_date,close,pct_chg,amount,amount_yuan,amount_yi,total_mv,total_mv_yuan,total_mv_yi,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,pe,pb,ps,dv_ratio,market,industry,list_date
300961.SZ,300961,深水海纳,20260318,15.84,-7.7461,545551.265,545551265.0,5.45551265,280811.52,2808115200.0,28.081152,241668.8731,22.4619,28.6084,1.67,,3.8289,7.5522,,创业板,环境保护,2021-03-30
300437.SZ,300437,清水源,20260318,18.22,-7.3245,612278.237,612278237.0,6.12278237,446760.0427,4467600427.0,44.67600427,316573.5877,19.3874,23.1147,0.71,,3.207,4.092,,创业板,化工原料,2015-04-23
002165.SZ,002165,红宝丽,20260318,11.87,-7.1931,2400671.582,2400671582.0,24.00671582,872765.2965,8727652965.0,87.27652965,863696.2118,27.9307,34.8782,0.93,149.2024,4.2692,3.2017,0.337,主板,化工原料,2007-09-13
600860.SH,600860,京城股份,20260318,13.21,-7.1027,532213.624,532213623.99999994,5.322136239999999,723228.9901,7232289901.000001,72.32289901000001,586577.8809,8.9968,20.1454,0.98,967.2655,9.3693,4.3862,,主板,专用机械,1994-05-06
002490.SZ,002490,山东墨龙,20260318,11.01,-6.9315,1141862.529,1141862529.0,11.41862529,878431.0884,8784310884.0,87.84310884,596435.922,19.3525,34.2486,0.79,,17.643,6.4764,,主板,化工机械,2010-10-21
001376.SZ,001376,百通能源,20260318,18.28,-6.9246,356244.369,356244369.0,3.56244369,842525.2,8425252000.0,84.25252,390740.1422,8.9461,8.9461,1.21,44.0584,7.2025,7.4396,0.8184,主板,供气供热,2023-11-03
002969.SZ,002969,嘉美包装,20260318,27.0,-6.8966,2835704.377,2835704377.0,28.35704377,2965938.417,29659384170.0,296.5938417,2949180.1974,9.5022,19.2514,0.93,161.8314,10.0364,9.2695,0.0959,主板,广告包装,2019-12-02
000688.SZ,000688,国城矿业,20260318,32.66,-6.3647,967435.579,967435579.0,9.67435579,3870431.1278,38704311278.0,387.04311278,3870417.0187,2.4779,7.3272,1.32,,9.469,20.1821,,主板,铅锌,1997-01-20
600691.SH,600691,潞化科技,20260318,4.42,-6.3559,1599739.028,1599739028.0,15.99739028,1050184.0228,10501840228.0,105.01840228,1050008.9908,15.281,30.7739,1.69,,2.9038,0.9639,,主板,农药化肥,1993-11-19
605167.SH,605167,利柏特,20260318,17.4,-6.3005,329534.384,329534384.0,3.29534384,781381.8,7813818000.0,78.13818,781381.8,4.1979,11.2362,2.48,32.4908,3.9544,2.2373,0.642,主板,建筑工程,2021-07-26
002809.SZ,002809,红墙股份,20260318,12.7,-6.2038,403937.733,403937733.0,4.03937733,268747.7645,2687477645.0,26.87477645,176680.4696,22.7995,29.8907,0.76,55.1159,1.7256,3.9793,2.362,主板,化工原料,2016-08-23
000822.SZ,000822,山东海化,20260318,6.33,-6.0831,612008.256,612008256.0,6.12008256,566593.1892,5665931892.0,56.65931892,566593.1892,10.6816,17.9031,1.19,144.4774,1.1811,0.9423,,主板,化工原料,1998-07-03
