ts_code,symbol,name,trade_date,close,pct_chg,amount,amount_yuan,amount_yi,total_mv,total_mv_yuan,total_mv_yi,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,pe,pb,ps,dv_ratio,market,industry,list_date
603052.SH,603052,可川科技,20260318,63.49,9.9965,1056625.009,1056625009.0000001,10.56625009,1192959.8434,11929598433.999998,119.29598433999998,1192959.8434,9.311,28.1741,1.71,179.6374,10.9663,15.2427,0.2779,主板,元器件,2022-10-11
002667.SZ,002667,威领股份,20260318,31.58,9.9965,654031.201,654031201.0,6.54031201,822947.957,8229479570.000001,82.29479570000001,747217.538,9.0738,11.5162,0.59,,17.7982,15.4494,,主板,小金属,2012-03-29
603881.SH,603881,数据港,20260318,38.74,9.9943,2768963.651,2768963651.0,27.68963651,2782992.4941,27829924940.999996,278.29924940999996,2782992.4941,10.224,17.8904,1.69,210.5294,8.4741,16.1754,0.1544,主板,软件服务,2017-02-08
605286.SH,605286,同力天启,20260318,51.4,9.9936,178336.821,178336821.0,1.78336821,863520.0,8635200000.0,86.352,863520.0,2.1181,7.702,0.49,35.0425,4.067,3.4185,0.3502,主板,运输设备,2021-03-22
603088.SH,603088,宁波精达,20260318,13.32,9.9917,695450.324,695450324.0,6.95450324,669180.7707,6691807707.0,66.91807707,583245.2909,12.1554,22.4575,2.76,40.6545,6.1132,8.1853,1.8976,主板,机床制造,2014-11-11
603897.SH,603897,长城科技,20260318,33.14,9.99,633470.308,633470308.0,6.33470308,684127.8468,6841278468.000001,68.41278468000002,684127.8468,9.3118,22.3542,1.12,28.9765,2.8449,0.5268,5.4315,主板,电气设备,2018-04-10
000990.SZ,000990,诚志股份,20260318,10.79,9.9898,756294.592,756294592.0,7.56294592,1311241.3003,13112413003.0,131.12413003,1311240.3292,5.8777,11.0074,0.81,56.8649,0.7337,1.1849,0.4634,主板,化工原料,2000-07-06
603912.SH,603912,佳力图,20260318,10.24,9.9893,458886.396,458886396.0,4.58886396,554847.146,5548471459.999999,55.48471459999999,554847.146,8.4444,14.975,1.13,154.7292,3.1676,6.8862,0.7812,主板,专用机械,2017-11-01
603489.SH,603489,八方股份,20260318,36.67,9.988,271071.68,271071680.0,2.7107168,860344.129,8603441290.0,86.0344129,860344.129,3.2164,11.9932,1.27,134.7534,3.1941,6.3409,0.2727,主板,电气设备,2019-11-11
000020.SZ,000020,深华发Ａ,20260318,19.28,9.9829,55759.302,55759302.0,0.55759302,545934.8457,5459348456.999999,54.593484569999994,349286.8738,1.5964,4.674,0.68,148.601,12.8478,6.6848,,主板,元器件,1992-04-28
600513.SH,600513,联环药业,20260318,22.48,9.9804,329372.944,329372944.0,3.29372944,641705.695,6417056949.999999,64.17056949999998,641705.695,5.3457,8.8941,1.36,76.2483,4.8066,2.9702,0.3959,主板,化学制药,2003-03-19
603311.SH,603311,金海高科,20260318,17.42,9.9747,190513.619,190513619.0,1.90513619,410909.766,4109097660.0,41.0909766,410909.766,4.7743,9.8203,2.7,63.1792,2.9898,5.211,0.6889,主板,家用电器,2015-05-18
002565.SZ,002565,顺灏股份,20260318,16.21,9.9729,4078031.747,4078031747.0,40.78031747,1718242.0426,17182420426.0,171.82420426,1718169.0976,24.7837,32.5474,4.16,378.9924,9.2131,11.3169,0.2401,主板,造纸,2011-03-18
600590.SH,600590,泰豪科技,20260318,15.44,9.9715,1409412.248,1409412248.0,14.09412248,1316830.894,13168308940.0,131.6830894,1302471.3435,11.4257,17.6831,1.33,,4.1179,3.0231,,主板,通信设备,2002-07-03
000601.SZ,000601,韶能股份,20260318,6.73,9.9673,210594.554,210594554.0,2.10594554,716303.0571,7163030571.0,71.63030571,706331.6084,2.9815,4.2374,0.18,93.3928,1.7743,1.6127,2.9652,主板,水力发电,1996-08-30
603803.SH,603803,瑞斯康达,20260318,13.13,9.9665,1023640.136,1023640136.0,10.23640136,557872.1103,5578721102.999999,55.78721102999999,557872.1103,18.7362,33.24,0.94,,3.5521,4.0358,,主板,通信设备,2017-04-20
603387.SH,603387,基蛋生物,20260318,10.38,9.9576,343269.931,343269931.0,3.43269931,526425.3506,5264253506.0,52.64253506,526425.3506,6.6026,11.7781,2.61,23.5393,1.9562,4.5195,1.7341,主板,医疗保健,2017-07-17
600666.SH,600666,奥瑞德,20260318,4.44,9.901,1062721.417,1062721416.9999999,10.627214169999998,1221642.6429,12216426429.0,122.16426429,1074370.3031,9.9876,11.7892,0.96,,10.813,33.3813,,主板,元器件,1993-07-12
301165.SZ,301165,锐捷网络,20260318,89.84,9.802,1124341.626,1124341626.0,11.24341626,7146363.6323,71463636323.0,714.63636323,7146363.6323,1.6427,13.6893,1.04,124.4834,14.4045,6.1086,0.4818,创业板,通信设备,2022-11-21
688525.SH,688525,佰维存储,20260318,258.09,9.4622,11977811.67,11977811670.0,119.7781167,12056202.3034,120562023034.0,1205.62023034,12056202.3034,10.1403,14.2401,1.18,747.7486,26.342,18.0073,,科创板,半导体,2022-12-30
601872.SH,601872,招商轮船,20260318,18.02,9.2784,4507936.77,4507936770.0,45.0793677,14550318.3806,145503183806.0,1455.03183806,14550318.3806,3.1566,10.0303,1.36,28.4884,3.6185,5.6398,1.2542,主板,水运,2006-12-01
300017.SZ,300017,网宿科技,20260318,18.46,9.2308,5295108.436,5295108436.0,52.95108436,4540144.2883,45401442883.0,454.01442883,4257137.4471,12.8058,14.4462,0.97,67.3091,4.478,9.2055,1.3458,创业板,软件服务,2009-10-30
300738.SZ,300738,奥飞数据,20260318,24.2,9.1073,2686790.61,2686790610.0,26.8679061,2384133.1437,23841331437.0,238.41331437,2383458.0508,11.6327,16.0694,1.21,192.1356,6.786,11.0131,0.0537,创业板,软件服务,2018-01-19
688166.SH,688166,博瑞医药,20260318,51.35,9.0465,1222440.253,1222440253.0,12.22440253,2172638.2749,21726382749.0,217.26382749,2172638.2749,5.8679,9.5408,1.58,114.853,9.1025,16.94,0.1866,科创板,化学制药,2019-11-08
301629.SZ,301629,矽电股份,20260318,297.8,8.8729,584181.375,584181375.0,5.84181375,1242638.2197,12426382197.0,124.26382197,310656.5918,19.386,19.386,1.55,135.2632,10.6644,24.4705,0.3217,创业板,半导体,2025-03-24
301005.SZ,301005,超捷股份,20260318,151.8,8.6381,1541484.041,1541484041.0,15.41484041,2038082.147,20380821470.0,203.8082147,2009385.4955,7.9652,14.6232,1.58,1919.8848,26.4993,32.3399,0.0326,创业板,汽车配件,2021-06-01
300857.SZ,300857,协创数据,20260318,252.02,8.6246,3168478.597,3168478597.0,31.68478597,8722935.6203,87229356203.0,872.29356203,8669244.0194,3.7675,5.9983,1.4,74.9146,19.8665,7.1292,0.0824,创业板,IT设备,2020-07-27
000534.SZ,000534,万泽股份,20260318,43.15,8.6081,1124014.904,1124014904.0,11.24014904,2198701.8465,21987018465.0,219.87018465,2157372.345,5.3804,7.1366,0.77,114.0757,14.0505,20.3798,0.1098,主板,生物制药,1994-01-10
300369.SZ,300369,绿盟科技,20260318,9.99,8.587,840725.619,840725619.0,8.40725619,809811.2651,8098112651.0,80.98112651,807247.8721,10.7979,14.4536,1.0,,3.2984,3.4343,,创业板,软件服务,2014-01-29
